group_code,food_group,cod_item,food_description
01,Cereais,6902901,CUSCUZ
01,Cereais,6304201,PIPOCA  LIGHT
01,Cereais,8501202,PIPOCA DOCE OU SALGADA
01,Cereais,6300101,"ARROZ (POLIDO, PARBOILIZADO, AGULHA, AGULHINHA, ETC)"
01,Cereais,6300113,ARROZ BRANCO
01,Cereais,8579027,ARROZ COM LEGUMES
01,Cereais,8579004,ARROZ DE LEITE
01,Cereais,8501402,MILHO COZIDO
01,Cereais,8505401,ARROZ A GREGA
01,Cereais,8579003,MARIA ISABEL
01,Cereais,6905101,PAMONHA
01,Cereais,8500218,POLENTA
01,Cereais,8502701,RISOTO
01,Cereais,8504201,SUSHI
01,Cereais,8579038,ARROZ COM FRANGO / ARROZ COM CAPOTE
01,Cereais,8579034,ARROZ COM SALSICHA / LINGUICA
01,Cereais,6300706,CANJIQUINHA DE MILHO EM GRAO
01,Cereais,7700401,MILHO VERDE EM CONSERVA
01,Cereais,8579002,ARROZ CARRETEIRO / ARROZ TROPEIRO
01,Cereais,6300201,ARROZ INTEGRAL
01,Cereais,8500217,ANGU DE MILHO
01,Cereais,8579030,ARROZ COM LINGUICA
01,Cereais,8579006,ARROZ COM OVO
01,Cereais,8579054,BOLINHO DE ARROZ
01,Cereais,6500603,FARINHA DE MILHO
01,Cereais,6304901,QUINOA
01,Cereais,8505202,CHARUTO DE REPOLHO COM CARNE BOVINA
01,Cereais,8505806,CUSCUZ MARROQUINO
01,Cereais,6500802,VITAMILHO
01,Cereais,6300707,XEREM DE MILHO
01,Cereais,6500804,CREME DE MILHO
01,Cereais,8507401,ARROZ DE CUXA
01,Cereais,8579245,RISOTO DE CAMARAO
01,Cereais,8579035,ARROZ DE BROCOLIS / COUVE
01,Cereais,8579033,ARROZ COM PEQUI
01,Cereais,8579037,ARROZ DE FORNO
01,Cereais,6303501,QUIRERA
01,Cereais,8511502,SALADA DE TRIGO
01,Cereais,8579024,ARROZ COM FRANGO E PEQUI
01,Cereais,8579025,ARROZ COM FRUTOS DO MAR / ARROZ COM PEIXE
01,Cereais,8579091,CANJIQUINHA DE MILHO COM COSTELINHA DE PORCO
01,Cereais,8511501,TABULE
01,Cereais,8500215,ANGU FRITO
01,Cereais,8579019,ARROZ AO MOLHO PARDO / ARROZ DE CABIDELA
01,Cereais,8579029,ARROZ COM LENTILHA
01,Cereais,8579031,ARROZ COM MACARRAO / ALETRIA / ALITRIA / CABELO DE A
01,Cereais,8579162,HOT FILADELFIA
01,Cereais,8579248,RISOTO DE LEGUMES
01,Cereais,8579280,TEMAKI
01,Cereais,6300212,ARROZ 7 GRAOS
01,Cereais,8579005,ARROZ COM MANDIOCA
01,Cereais,8505203,CHARUTO DE REPOLHO COM FRANGO
