,group_code,food_group,cod_item,food_description,group_eng,desc_eng
0,1,Cereais,6902901,CUSCUZ,Cereals,COUSCOUS
1,1,Cereais,6304201,PIPOCA  LIGHT,Cereals,POPCORN LIGHT
2,1,Cereais,8501202,PIPOCA DOCE OU SALGADA,Cereals,SWEET OR SALTED POPCORN
3,1,Cereais,6300101,"ARROZ (POLIDO, PARBOILIZADO, AGULHA, AGULHINHA, ETC)",Cereals,"RICE (POLISHED, PARBOILIZED, NEEDLE, NEEDLE, ETC)"
4,1,Cereais,6300113,ARROZ BRANCO,Cereals,WHITE RICE
5,1,Cereais,8579027,ARROZ COM LEGUMES,Cereals,RICE WITH VEGETABLES
6,1,Cereais,8579004,ARROZ DE LEITE,Cereals,MILK RICE
7,1,Cereais,8501402,MILHO COZIDO,Cereals,BOILED CORN
8,1,Cereais,8505401,ARROZ A GREGA,Cereals,PILAF
9,1,Cereais,8579003,MARIA ISABEL,Cereals,MARIA ISABEL
10,1,Cereais,6905101,PAMONHA,Cereals,FOOL
11,1,Cereais,8500218,POLENTA,Cereals,COOKED CORN MEAL
12,1,Cereais,8502701,RISOTO,Cereals,RISOTTO
13,1,Cereais,8504201,SUSHI,Cereals,SUSHI
14,1,Cereais,8579038,ARROZ COM FRANGO / ARROZ COM CAPOTE,Cereals,RICE WITH CHICKEN / RICE WITH PACK
15,1,Cereais,8579034,ARROZ COM SALSICHA / LINGUICA,Cereals,RICE WITH SAUSAGE / LANGUAGE
16,1,Cereais,6300706,CANJIQUINHA DE MILHO EM GRAO,Cereals,CORN CANJIQUINHA IN GRAIN
17,1,Cereais,7700401,MILHO VERDE EM CONSERVA,Cereals,GREEN CORN CANNED
18,1,Cereais,8579002,ARROZ CARRETEIRO / ARROZ TROPEIRO,Cereals,CAREER RICE / TROPEIRO RICE
19,1,Cereais,6300201,ARROZ INTEGRAL,Cereals,INTEGRAL RICE
20,1,Cereais,8500217,ANGU DE MILHO,Cereals,CORN ANGU
21,1,Cereais,8579030,ARROZ COM LINGUICA,Cereals,RICE WITH SAUSAGE
22,1,Cereais,8579006,ARROZ COM OVO,Cereals,RICE WITH EGG
23,1,Cereais,8579054,BOLINHO DE ARROZ,Cereals,RICE BALLS
24,1,Cereais,6500603,FARINHA DE MILHO,Cereals,CORNFLOUR
25,1,Cereais,6304901,QUINOA,Cereals,QUINOA
26,1,Cereais,8505202,CHARUTO DE REPOLHO COM CARNE BOVINA,Cereals,CABBAGE CIGAR WITH BEEF
27,1,Cereais,8505806,CUSCUZ MARROQUINO,Cereals,MOROCCAN COUSCOUS
28,1,Cereais,6500802,VITAMILHO,Cereals,VITAMILHO
29,1,Cereais,6300707,XEREM DE MILHO,Cereals,CORN XEREM
30,1,Cereais,6500804,CREME DE MILHO,Cereals,CORN CREAM
31,1,Cereais,8507401,ARROZ DE CUXA,Cereals,CUT RICE
32,1,Cereais,8579245,RISOTO DE CAMARAO,Cereals,SHRIMP RISOTTO
33,1,Cereais,8579035,ARROZ DE BROCOLIS / COUVE,Cereals,BROCOLIS RICE / CAUVE
34,1,Cereais,8579033,ARROZ COM PEQUI,Cereals,RICE WITH PEQUI
35,1,Cereais,8579037,ARROZ DE FORNO,Cereals,OVEN RICE
36,1,Cereais,6303501,QUIRERA,Cereals,QUIRERA
37,1,Cereais,8511502,SALADA DE TRIGO,Cereals,WHEAT SALAD
38,1,Cereais,8579024,ARROZ COM FRANGO E PEQUI,Cereals,RICE WITH CHICKEN AND PEQUI
39,1,Cereais,8579025,ARROZ COM FRUTOS DO MAR / ARROZ COM PEIXE,Cereals,RICE WITH SEA FRUITS / RICE WITH FISH
40,1,Cereais,8579091,CANJIQUINHA DE MILHO COM COSTELINHA DE PORCO,Cereals,CORN CANJIQUINHA WITH PORK RIBS
41,1,Cereais,8511501,TABULE,Cereals,TABLE
42,1,Cereais,8500215,ANGU FRITO,Cereals,FRIED ANGU
43,1,Cereais,8579019,ARROZ AO MOLHO PARDO / ARROZ DE CABIDELA,Cereals,BROWN SAUCE RICE / CABIDELA RICE
44,1,Cereais,8579029,ARROZ COM LENTILHA,Cereals,RICE WITH LENTIL
45,1,Cereais,8579031,ARROZ COM MACARRAO / ALETRIA / ALITRIA / CABELO DE A,Cereals,RICE WITH MACARRAO / ALETRIA / ALITRIA / A HAIR
46,1,Cereais,8579162,HOT FILADELFIA,Cereals,HOT PHILADELPHIA
47,1,Cereais,8579248,RISOTO DE LEGUMES,Cereals,RISOTTO OF VEGETABLES
48,1,Cereais,8579280,TEMAKI,Cereals,TEMAKI
49,1,Cereais,6300212,ARROZ 7 GRAOS,Cereals,RICE 7 GRAINS
50,1,Cereais,8579005,ARROZ COM MANDIOCA,Cereals,RICE WITH CASSAVA
51,1,Cereais,8505203,CHARUTO DE REPOLHO COM FRANGO,Cereals,CABBAGE CIGAR WITH CHICKEN
52,1,Cereais,8505201,CHARUTO DE REPOLHO PRONTO,Cereals,READY CABBAGE CIGAR
53,1,Cereais,6573244,"MASSA, ARROZ (TIPO BIFUM)",Cereals,"PASTA, RICE (BIFUM TYPE)"
54,1,Cereais,8579247,RISOTO DE FUNGUI  (FUNGHI),Cereals,FUNGUI RISOTO (FUNGHI)
55,1,Cereais,8579036,ARROZ DE COCO,Cereals,COCONUT RICE
56,1,Cereais,7701501,MILHO VERDE COM ERVILHA EM CONSERVA,Cereals,GREEN CORN WITH CONSERVED PEA
57,1,Cereais,8579022,ARROZ CAIPIRA,Cereals,COUNTRY RICE
58,1,Cereais,8579246,RISOTO DE FRUTOS DO MAR,Cereals,SEAFOOD RISOTTO
59,1,Cereais,6300901,TRIGO EM GRAO,Cereals,WHEAT IN GRAIN
60,1,Cereais,8579039,ARROZ PIAMONTESE,Cereals,PIAMONTESE RICE
61,1,Cereais,8579023,ARROZ CHOP SUEY,Cereals,CHOP SUEY RICE
62,1,Cereais,6300211,ARROZ 3 GRAOS,Cereals,RICE 3 GRAINS
