ingr_descr_eng,ingr_code
Tomato,2570
Honey,30
"Õnne' multigrain bread, Eesti Pagar",86185
"Tea, ready to drink, without sugar",9010
"Cheese, on average, 25%-26% fat (Farmi cheeses, Valio 'Atleet Original' and 'Eesti Juust')",5230
"Butter, 80%-82% fat (type 'Farmi', 'Tere', 'Saaremaa', 'Valio')",4000
"Buckwheat, dry ingredient",1610
Water,9150
Apple,3000
Potato dressing ('Felix'),4235
"Potato, raw",2040
Rape seed oil (type 'Olivia'),4090
"Sweet pepper / Bell pepper / Capsicum, on average",2592
"Juice concentrate, with sugar",3510
"Pork, striploin, raw (type 'Rakvere', 'Maks & Moorits')",6090
Stawberry jam,8212
"Chocolate coated quark, vanilla, 21% fat (type 'Farmi')",8313
Kuldne' classic toast bread ('Leibur'),86445
Weetabix' breakfast cereal,1960
"Milk, 2,5% fat, on average",8200
Banana,3360
"Dumplings, with mixed minced meat",8289
Apple juice,3010
"Ice cream, 10% fat (type 'Balbiino')",8789
Ruks' rye bread ('Leibur'),86423
"Olive oil, cold-pressed or hot-pressed",4100
Iceberg lettuce,2385
Cucumber,2520
"Ice cream, 15% fat, in waffle cone (type 'Premia')",8788
Sugar,10
Cinnamon / Cassia,8526
Rukkipala' rye bread ('Leibur'),8600
"Cheese spread, 18,5% fat (type Tere 'Merevaik')",8790
"Rice, polished, dry ingredient",1570
Soya protein,1730
"Juice, on average",3120
"Quark cream, cocoa, 4% - 5% fat (type 'Valio', Tere 'Emma')",5165
Ketchup,2660
"Youghurt, unflavoured, 2,5% - 3% fat ( type 'Farmi', 'Valio', 'Tere' incl. 'Natural',)",5070
"Canned tuna, with water",7440
Garlic,2438
"Pasta, dry ingredient",1160
Onion,2430
"Spinach, frozen",8369
"Mixed cereal rolled grains: rye, oat, wheat, barley",1340
Brown sugar,8528
Raffaello' coconut confection,192
"Sour cream, 20 % fat",8203
"Root beer drink, without alcohol",8559
Salt,9410
Baking powder,8537
Wheat flour,1100
Orange juice,3180
"Egg, raw",8030
"Chocolate-coated ice cream, on a stick (type Premia 'Väike Tom')",8794
"Pork meat, collar / chops, raw (type 'Rakvere', 'Oskar', 'Saaremaa', from culinary counter)",6011
"Dill, fresh",2790
Chives,2441
Blueberries,3420
"Juice drink, on average",3182
"Mixed minced meat, raw, 15% fat",6210
"Sour cream, 10% fat (type 'Farmi', 'Tere', 'Valio')",8476
Yeast,9450
"Lemonade / Soda, fruit-flavoured",9100
"Semolina, wheat, dry ingredient",1120
Potato starch,1620
"Oil, on average",4150
Potato flakes,2051
"Milk powder, 1% fat",5450
Wheat gluten,1245
Tomato puree,2580
Mustard,2670
"Pork, ribs, with bones, raw",6030
"Chicken leg, smoked (type 'Tallegg')",6521
Cocoa powder,60
"Milk, 4,2% fat",5000
"Oat rolled grains / Oatmeal, raw",1540
Lemon / Lime,3193
"Potatoes, boiled",2010
Caramel candy,40
"Glycose, powder",111
Breadcrumbs,8729
"Egg white / Albumen, raw",8020
"Chicken meat, mechanically deboned, raw",6465
"Chicken skin, raw",6464
"Sausage 'Laste', Vastse-Kuuste",85865
"Röst', multigrain bread ('Leibur')",86638
Coco Pops breakfast cereal,8539
"Milk, 3,5% fat, with vitamin D (type 'Tere')",8198
"Bouillon powder, vegetable",8425
Cooked sausage,6620
"Toasting bread, Fazer",86178
"Pork minced meat, raw, 22,5% fat",8527
"Rye bread, average",8205
"Biscuit, plain, Kalev",86210
"Margarine spread, 40% fat",4380
"Margarine spread, 50% fat",8545
"Sausage 'Laste', Rakvere",85868
"Pork, on average, raw",6000
Mandarin orange / Mandarine / Clementine / Tangerine,3301
"Chocolate coated quark, vanilla, 18% fat (type Tere 'Classic')",8309
Moskva pastry,8792
"Milk, 2,5% fat, with vitamin D (type 'Tere')",8199
Shortcrust pastry with quark filling,86524
"Beef, on average, raw",6200
"Pork, fatback, raw",6080
"Lemon juice / Lime juice, fresh",3194
"Pineapple, canned, drained",3290
"Cabbage, white",2300
Carrot,2110
Vichy' mineral water,9160
Watermelon,3221
Rukkitasku' rye bread ('Eesti Pagar'),87034
"Frankfurter / big frankfurter, boiled",8218
"Milk, 3,5% fat (type 'Farmi', 'Tere', 'Valio')",8669
"Milk, 3,9% fat",5010
"Fish sticks, frozen",8506
"Apple, peeled",8396
"Frankfurter / big frankfurter, raw",6640
Maias' raisin bun ('Leibur'),86451
"Pasta, boiled",1170
"Broiler gizzard, raw (type 'Tallegg')",6840
"Chicken, with skin, raw (type 'Tallegg', 'Rannamõisa')",6454
"Beef minced meat, raw, 7% fat",6980
Leek,2450
Parsley root,8363
Popcorn,1460
Vanilla sugar,8701
"Condensed milk, with sugar",8290
