age_range,pop.male,pop.female
0-4,9965279,9527872.5
5-9,10587520,10122465.5
10-14,10755076,10293225.5
15-19,10851120,10425546
20-24,11623224,11160483.5
25-29,11921831.5,11458255
30-34,11226279.5,10968529
35-39,10418881.5,10386673.5
40-44,9986465.5,10077716
45-49,10171890,10158190.5
50-54,10727531.5,10660752
55-59,10760286,11016124.5
60-64,9644140.5,10279053
65-69,7980681.5,8866525.5
70-74,5863211.5,6883643
75-79,3909520,4818766
80-84,2577879.5,3414486
85-89,1498516.5,2386922
90-94,683370,1331710
95-99,175603,445694
100+,15756,63814.5
