age,pop.male,pop.female
0,1501960.6,1467844.0
1,1501960.6,1467844.0
2,1501960.6,1467844.0
3,1501960.6,1467844.0
4,1501960.6,1467844.0
5,1496027.3,1464818.6
6,1496027.3,1464818.6
7,1496027.3,1464818.6
8,1496027.3,1464818.6
9,1496027.3,1464818.6
10,1585637.7,1555164.0
11,1585637.7,1555164.0
12,1585637.7,1555164.0
13,1585637.7,1555164.0
14,1585637.7,1555164.0
15,1713004.2,1684274.3
16,1713004.2,1684274.3
17,1713004.2,1684274.3
18,1713004.2,1684274.3
19,1713004.2,1684274.3
20,1737564.6,1716308.6
21,1737564.6,1716308.6
22,1737564.6,1716308.6
23,1737564.6,1716308.6
24,1737564.6,1716308.6
25,1715263.1,1705835.8
26,1715263.1,1705835.8
27,1715263.1,1705835.8
28,1715263.1,1705835.8
29,1715263.1,1705835.8
30,1741549.1,1745671.8
31,1741549.1,1745671.8
32,1741549.1,1745671.8
33,1741549.1,1745671.8
34,1741549.1,1745671.8
35,1658556.3,1674809.3
36,1658556.3,1674809.3
37,1658556.3,1674809.3
38,1658556.3,1674809.3
39,1658556.3,1674809.3
40,1450590.8,1477275.6
41,1450590.8,1477275.6
42,1450590.8,1477275.6
43,1450590.8,1477275.6
44,1450590.8,1477275.6
45,1302314.2,1340379.8
46,1302314.2,1340379.8
47,1302314.2,1340379.8
48,1302314.2,1340379.8
49,1302314.2,1340379.8
50,1201237.6,1249752.7
51,1201237.6,1249752.7
52,1201237.6,1249752.7
53,1201237.6,1249752.7
54,1201237.6,1249752.7
55,1027851.0,1082083.1
56,1027851.0,1082083.1
57,1027851.0,1082083.1
58,1027851.0,1082083.1
59,1027851.0,1082083.1
60,815707.0,872299.9
61,815707.0,872299.9
62,815707.0,872299.9
63,815707.0,872299.9
64,815707.0,872299.9
65,611755.3,667928.5
66,611755.3,667928.5
67,611755.3,667928.5
68,611755.3,667928.5
69,611755.3,667928.5
70,414004.7,465915.4
71,414004.7,465915.4
72,414004.7,465915.4
73,414004.7,465915.4
74,414004.7,465915.4
75,273413.5,322433.0
76,273413.5,322433.0
77,273413.5,322433.0
78,273413.5,322433.0
79,273413.5,322433.0
80,164325.8,205621.5
81,164325.8,205621.5
82,164325.8,205621.5
83,164325.8,205621.5
84,164325.8,205621.5
85,75893.4,105277.0
86,75893.4,105277.0
87,75893.4,105277.0
88,75893.4,105277.0
89,75893.4,105277.0
90,28486.6,43370.8
91,28486.6,43370.8
92,28486.6,43370.8
93,28486.6,43370.8
94,28486.6,43370.8
95,6822.5,11227.3
96,6822.5,11227.3
97,6822.5,11227.3
98,6822.5,11227.3
99,6822.5,11227.3
100,4337.0,7533.0
