age,pop.male,pop.female
0,1151548.8,1101269.4
1,1151548.8,1101269.4
2,1151548.8,1101269.4
3,1151548.8,1101269.4
4,1151548.8,1101269.4
5,1139849.6,1089381.0
6,1139849.6,1089381.0
7,1139849.6,1089381.0
8,1139849.6,1089381.0
9,1139849.6,1089381.0
10,1147113.4,1106025.2
11,1147113.4,1106025.2
12,1147113.4,1106025.2
13,1147113.4,1106025.2
14,1147113.4,1106025.2
15,1117277.2,1094933.8
16,1117277.2,1094933.8
17,1117277.2,1094933.8
18,1117277.2,1094933.8
19,1117277.2,1094933.8
20,1102841.0,1094563.0
21,1102841.0,1094563.0
22,1102841.0,1094563.0
23,1102841.0,1094563.0
24,1102841.0,1094563.0
25,987841.6,1029607.4
26,987841.6,1029607.4
27,987841.6,1029607.4
28,987841.6,1029607.4
29,987841.6,1029607.4
30,895273.4,965390.6
31,895273.4,965390.6
32,895273.4,965390.6
33,895273.4,965390.6
34,895273.4,965390.6
35,829369.4,916045.0
36,829369.4,916045.0
37,829369.4,916045.0
38,829369.4,916045.0
39,829369.4,916045.0
40,785726.2,869788.6
41,785726.2,869788.6
42,785726.2,869788.6
43,785726.2,869788.6
44,785726.2,869788.6
45,687274.8,772769.2
46,687274.8,772769.2
47,687274.8,772769.2
48,687274.8,772769.2
49,687274.8,772769.2
50,590974.2,656730.2
51,590974.2,656730.2
52,590974.2,656730.2
53,590974.2,656730.2
54,590974.2,656730.2
55,481886.8,541619.0
56,481886.8,541619.0
57,481886.8,541619.0
58,481886.8,541619.0
59,481886.8,541619.0
60,382091.2,434056.2
61,382091.2,434056.2
62,382091.2,434056.2
63,382091.2,434056.2
64,382091.2,434056.2
65,274966.6,315050.6
66,274966.6,315050.6
67,274966.6,315050.6
68,274966.6,315050.6
69,274966.6,315050.6
70,200571.8,232948.2
71,200571.8,232948.2
72,200571.8,232948.2
73,200571.8,232948.2
74,200571.8,232948.2
75,133018.8,163267.6
76,133018.8,163267.6
77,133018.8,163267.6
78,133018.8,163267.6
79,133018.8,163267.6
80,83226.6,111898.0
81,83226.6,111898.0
82,83226.6,111898.0
83,83226.6,111898.0
84,83226.6,111898.0
85,45989.0,67243.8
86,45989.0,67243.8
87,45989.0,67243.8
88,45989.0,67243.8
89,45989.0,67243.8
90,20048.0,30731.8
91,20048.0,30731.8
92,20048.0,30731.8
93,20048.0,30731.8
94,20048.0,30731.8
95,5303.6,8765.2
96,5303.6,8765.2
97,5303.6,8765.2
98,5303.6,8765.2
99,5303.6,8765.2
100,4399.0,7601.0
