age,pop.male,pop.female
0,92898.2,87965.4
1,92898.2,87965.4
2,92898.2,87965.4
3,92898.2,87965.4
4,92898.2,87965.4
5,102965.4,97450.4
6,102965.4,97450.4
7,102965.4,97450.4
8,102965.4,97450.4
9,102965.4,97450.4
10,102093.0,96914.0
11,102093.0,96914.0
12,102093.0,96914.0
13,102093.0,96914.0
14,102093.0,96914.0
15,104466.2,99745.6
16,104466.2,99745.6
17,104466.2,99745.6
18,104466.2,99745.6
19,104466.2,99745.6
20,105505.6,102079.8
21,105505.6,102079.8
22,105505.6,102079.8
23,105505.6,102079.8
24,105505.6,102079.8
25,102644.0,99921.4
26,102644.0,99921.4
27,102644.0,99921.4
28,102644.0,99921.4
29,102644.0,99921.4
30,100180.6,98443.6
31,100180.6,98443.6
32,100180.6,98443.6
33,100180.6,98443.6
34,100180.6,98443.6
35,112696.2,111773.2
36,112696.2,111773.2
37,112696.2,111773.2
38,112696.2,111773.2
39,112696.2,111773.2
40,129135.6,127264.4
41,129135.6,127264.4
42,129135.6,127264.4
43,129135.6,127264.4
44,129135.6,127264.4
45,132266.6,128892.0
46,132266.6,128892.0
47,132266.6,128892.0
48,132266.6,128892.0
49,132266.6,128892.0
50,121960.2,119386.8
51,121960.2,119386.8
52,121960.2,119386.8
53,121960.2,119386.8
54,121960.2,119386.8
55,109780.6,109367.6
56,109780.6,109367.6
57,109780.6,109367.6
58,109780.6,109367.6
59,109780.6,109367.6
60,110161.4,109771.8
61,110161.4,109771.8
62,110161.4,109771.8
63,110161.4,109771.8
64,110161.4,109771.8
65,83019.6,84138.4
66,83019.6,84138.4
67,83019.6,84138.4
68,83019.6,84138.4
69,83019.6,84138.4
70,61487.4,66933.6
71,61487.4,66933.6
72,61487.4,66933.6
73,61487.4,66933.6
74,61487.4,66933.6
75,45417.8,57109.0
76,45417.8,57109.0
77,45417.8,57109.0
78,45417.8,57109.0
79,45417.8,57109.0
80,27760.8,43581.8
81,27760.8,43581.8
82,27760.8,43581.8
83,27760.8,43581.8
84,27760.8,43581.8
85,13550.0,28936.8
86,13550.0,28936.8
87,13550.0,28936.8
88,13550.0,28936.8
89,13550.0,28936.8
90,4029.6,12080.2
91,4029.6,12080.2
92,4029.6,12080.2
93,4029.6,12080.2
94,4029.6,12080.2
95,645.0,2870.0
96,645.0,2870.0
97,645.0,2870.0
98,645.0,2870.0
99,645.0,2870.0
100,265.0,1478.0
