ingr_descr_eng,foodex2_ingr_code,ingr_code
"Follow-on formula, Nidina Expert H.A./A.R., Nestlé, reconstituted",A03QR,999900133
"Yoghurt, cow milk",A02NF,50600001
"Minteral water, noncarbonated",A03DR,130500005
"Bread, without crust",A0BY0#F20.A0F1L,60301038
"Leeks, raw",A00SB,20800007
"Carrots, raw",A00QH,20400004
"Onions, raw",A00HC,20800001
Olive oil,A036P,100100009
Salt,A042P,150500006
Potatoes,A00ZT,10200002
"Turnips, raw",A00RE,20400011
"Courgettes, raw",A00JR,20300026
Chayote fruits,A00JZ,20300031
Pumpkins,A00KH,20300019
"Chicken, leg",A01SP#F02.A07XQ,70302005
"Fruit or fruit-vegetable puree, jar",A03RJ#F18.A07NN,40100008
"Wheat bread, roll",A004Y,60301003
"Follow-on formula, Nutribén growth 3, Nutribén, reconstituted",A03QR,999900089
"Yoghurt, cow milk, plain, spoonable",A02NG#F03.A0CEE,50600002
Tap water,A03DL,130500002
"Apples, without peel",A01DJ#F20.A07QF,40200012
Fish,A026V,80200001
"Garlic, raw",A00GZ,20800005
"Peppercorn, ground",A018Z#F28.A07LA,150500012
Cassava roots flour,A00ZZ#F28.A07LA,60100022
"Spinaches, raw",A00MJ,20200014
Mashed boiled fruit,A03RJ#F04.A01DJ$F04.A01DP,999900335
Pears,A01DP,40200014
Oilseeds,A015F,40300029
Hakes,A02CB,80200121
"Yoghurt, cow milk, semi-skimmed, spoonable, with added sugar",A02NF#F03.A0CEE$F08.A032H$F10.A077G,50600009
Bananas,A04JS,40200057
Vegetable oil,A036N,100100003
"Frozen garden peas, raw",A012J#F28.A07KQ,30100013
"Chicken, whole, without skin",A01SP#F20.A07QR,70302012
Tomatoes,A0DMX,20300003
"Bay leaves, dry",A016Z,150400006
Apples,A01DH,40200010
"Biscuits, sweet, plain",A009X,120200028
Water,A03DK,130500001
"Cereals Nestlé, Cerelac, >6 months, reconstituted with water",A0BZF,999900178
Fruit,A04RK,40200008
"White cabbage, raw",A00GC,20500005
Tomato puree,A00ZD,20300006
Dried pasta,A007L,60200017
"Cream, matured, pasteurised",A02ML#F10.A07XL$F28.A07HV,51001006
"Canned tuna, in vegetable oil",A0FBT#F06.A06XL,80100002
"Cereals Blédina, variated fruit, 6-36 months, reconstituted with water",A0BZF,999900185
Mangoes,A01LF,40200061
"Savoy cabbages, raw",A00GB,20500003
"Rice grain, ""carolino""polished",A003D,60200043
Calf fresh meat,A01QY,70203013
"Wine, white",A03MV,140200005
"Cow milk, semi-skimmed",A02LZ,50200005
Herbal and other non-tea infusions,A03LG,130403003
"Wheat bread, roll",A004Y,60301005
"Biscuits, sweet, plain",A009X,120200001
"Navy bean, raw",A012X,30100006
Calf fresh meat,A01QY,70203012
"Wheat flakes cereals, Nestum, with milk",A0BZE#F04.A02LV$F04.A001N,999900034
Tea beverage,A03LB,130402001
Milk wheat bread,A00BT#F04.A003Y,60301013
"Cheese, flamengo",A02SV,50800032
"Chocolate milk, semi-skimmed",A02MP#F04.A0EQD,50200020
"Fish fingers, breaded",A02KC,80400014
"Preserved tomato, whole or pieces",A00ZC,20300004
"Cauliflowers, raw",A00FR,20500012
Gelatine dessert,A036H,170100001
Milk,A02LT,50200001
Margarine,A0F1G,100300002
"Soft drink, orange, without gas",A03EL,130300006
"Salted cod, boiled",A0FCB#F28.A07MS$F28.A07GL,80200019
"Chestnuts, baked with added salt",A014J#F10.A0CJK$F28.A07GY,40300001
Whole egg,A031F,90000001
Mineral water,A03DQ,130500003
"Chocolat cow milk, semi-skimed, sterlised",A02MP#F04.A0EQD$F10.A077G$F28.A07HZ,50200019
"Walnuts, without husks",A014R#F20.A07QZ,40300021
"Calf, breast, low fat",A01QY#F02.A07XS$F10.A077C,70203016
"Parsley, raw",A00YE,150400029
Peas,A012J,30100012
Chocolate mousse,A04NS#F04.A034M,50900006
Rye rolled grains,A00DV,60100032
"Butter, with salt",A039C#F10.A0CJK,100200001
Oranges,A0DZB,40200048
"Chicken, whole, with skin",A01SP#F20.A07QQ,70302011
Paprika powder,A019L,150500015
Chorizo and similar,A025C,70500004
Preserved concentrated tomatoes,A00ZE,20300005
"Popcorn, sweet",A00DC#F10.A0CQM,110400028
"Infant cereals, non milk-based, ""Cerelac biscuits, >6 months, Nestlé""",A03QY#F27.A001D$F27.A001N$F27.A000P$F27.A000T$F27.A001K$F27.A001L$F27.A001B$F27.A000G$F04.A06VT$F04.A03RA$F09.A0EXH$F09.A0EXD$F09.A0EXE$F09.A0EXA$F09.A0EXN$F09.A0EXL$F09.A0EXV$F09.A0EXY$F09.A0EXZ$F09.A0EXS$F09.A0EXQ$F09.A0EXM,60602012
Octopus,A02JE,80300016
"Milk chocolate, filled",A034Q#F04.A034J,110300009
"Turkey, meat",A01SQ,70303001
Rice grain,A001D,60200042
"Wine, white",A03MV,140200006
Dried pasta,A007L,60200009
"Chorizo, pork meat, lean",A025C#F04.A01RG$F10.A077C,70500005
"Yoghurt drink, semi-skimmed, with added sugar",A02NQ#F08.A032H$F10.A077G,50600024
Croissant,A00BM,120100022
"Turkey, breast without skin, breaded",A01SQ#F02.A07XS$F20.A07QR$F28.A07HK,70303011
"Apples, with peel",A01DJ#F20.A07QE,40200011
Sweet peppers,A00JA,20300009
"Forkbeard, raw",A02BT#F01.A09RS,80200004
Ginger,A01AB,150400022
"Coffee imitate, powder, barley",A03HA,130404004
Greek yoghurt,A16GH,50600027
Meat,A0EYH,70201001
"Concentrated, diluted",A0EQN#F28.A07MR,130300032
Orange cake,A00BA#F04.A0DZB,999900048
Lettuces,A00KX,20200008
Dried pasta,A007L,60200026
"Hen eggs, whole, raw",A031G,90000003
"Head cabbages, raw",A00GE,20500016
"Portuguese kales, raw",A00GQ,20500007
"Broccoli, raw",A00FN,20500010
"Soft candies, fruit",A035L#F04.A06NQ,110400004
Chewing gum,A035M,110400014
Candy,A034X,110400012
Mixed wheat and rye bread,A005M,60301017
Rice popped cereal flakes,A00DR,60400009
White sugar,A032J,110200003
Kiwi fruits,A01JT,40200060
"Gooseberries, red",A01FP,40200039
"Soft drink, like Ice Tea",A03EX#F04.A03LC,130300029
"Pig, chop, half fat, raw",A01RG#F10.A077B,70204009
"Yoghurt, cow milk, semi-skimmed, spoonable",A02NF#F03.A0CEE$F10.A077G,50600008
"Cooked pork ham, leg",A023K#F02.A07XQ,70500022
Wheat flour white,A003Y,60100004
